empresa,telefone,endereco,nota,avaliacoes,especialidade,url_site,caminho_preview
Ponto de Troca Eletronicos,5511987654321,"Rua das Flores, 123 - São Paulo, SP",4.8,156,tecnologia,https://seu-usuario.github.io/sites-prospeccao/ponto-troca-1/,Sites Propostas/Ponto de Troca Eletronicos/hero-preview.png
Restaurante Sabores,5511987654322,"Av. Paulista, 500 - São Paulo, SP",4.9,203,restaurante,https://seu-usuario.github.io/sites-prospeccao/restaurante-sabores/,Sites Propostas/Restaurante Sabores/hero-preview.png
Imóveis RJ Premium,5521987654323,"Av. Atlântica, 1000 - Rio de Janeiro, RJ",4.7,89,imobiliaria,https://seu-usuario.github.io/sites-prospeccao/imoveis-rj/,Sites Propostas/Imóveis RJ Premium/hero-preview.png
Studio Fitness Elite,5585987654324,"Rua das Acácias, 200 - Fortaleza, CE",4.6,145,academia,https://seu-usuario.github.io/sites-prospeccao/studio-fitness/,Sites Propostas/Studio Fitness Elite/hero-preview.png
Salão Beleza Moderna,5537987654325,"Pça. da República, 50 - Belo Horizonte, MG",4.9,278,estetica,https://seu-usuario.github.io/sites-prospeccao/salao-beleza/,Sites Propostas/Salão Beleza Moderna/hero-preview.png
Clínica Odontológica Sorriso,5548987654326,"Rua do Comércio, 300 - Porto Alegre, RS",5.0,412,odontologia,https://seu-usuario.github.io/sites-prospeccao/clinica-odonto/,Sites Propostas/Clínica Odontológica Sorriso/hero-preview.png
Consultoria Jurídica Brasil,5567987654327,"Pça. 14 de Julho, 100 - Brasília, DF",4.8,94,advocacia,https://seu-usuario.github.io/sites-prospeccao/consultoria-jur/,Sites Propostas/Consultoria Jurídica Brasil/hero-preview.png
Hotel Litoral Paradise,5582987654328,"Av. Beira Mar, 2000 - Salvador, BA",4.7,567,hotelaria,https://seu-usuario.github.io/sites-prospeccao/hotel-paradise/,Sites Propostas/Hotel Litoral Paradise/hero-preview.png
Agência de Marketing Digital,5592987654329,"Av. Getúlio Vargas, 150 - Curitiba, PR",4.9,123,marketing,https://seu-usuario.github.io/sites-prospeccao/agencia-marketing/,Sites Propostas/Agência de Marketing Digital/hero-preview.png
Distribuidora de Bebidas Premium,5574987654330,"Rua Industrial, 500 - Recife, PE",4.6,87,distribuicao,https://seu-usuario.github.io/sites-prospeccao/distribuidora-bebidas/,Sites Propostas/Distribuidora de Bebidas Premium/hero-preview.png
